external_id,job_title,job_url,location,job_type,salary,description,requirements,posted_date,company,industry,status,attempts,last_error,discovered_at,updated_at
#,Search Jobs,https://www.kforce.com/find-work/search-jobs/#/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:25:09.492147
MTY5Nn5BUUd-MjE2NTQ5OFAxfjk5,Manager / Director Transaction Services (M&A),https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2NTQ5OFAxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:25:32.820355
MTY5Nn5BUUd-MjE2NTQ5NlAxfjk5,Tax Manager,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2NTQ5NlAxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:25:56.175926
MTY5Nn5FUUd-MjE2ODkzNVQxfjk5,Accounts Payable Coordinator,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5FUUd-MjE2ODkzNVQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:26:19.463252
MTY5Nn5BUUd-MjE2ODc4M1Qxfjk5,Lead Systems Engineer,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE2ODc4M1Qxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:26:42.758236
MTY5Nn5FUUd-MjE2ODkyNFQxfjk5,UI Developer,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5FUUd-MjE2ODkyNFQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:27:06.052211
MTY5Nn5FUUd-MjE2ODkyNlQxfjk5,BI Engineer,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5FUUd-MjE2ODkyNlQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:27:29.568405
MTY5Nn5FUUd-MjE2ODc4MFQxfjk5,Delivery Manager,https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5FUUd-MjE2ODc4MFQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:27:52.965466
MTY5Nn5BUUd-MjE1MzE1NlQxfjk5,"FS Java/J2EE (Version 11+), Angular, RESTful",https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE1MzE1NlQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:28:16.278080
MTY5Nn5BUUd-MjE1OTQyMlQxfjk5,"FS (Java, Spring Boot Kaftka, AWS)",https://www.kforce.com/find-work/search-jobs/#/detail/MTY5Nn5BUUd-MjE1OTQyMlQxfjk5/,,,,,,,,,failed,2,"Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1085093
	0x10850d4
	0xe7b490
	0xec58da
	0xec5b7b
	0xf07b42
	0xee8204
	0xf05341
	0xee7f56
	0xeb96c9
	0xeba484
	0x12d7e34
	0x12d30c9
	0x12f0add
	0x109db38
	0x10a58ad
	0x108d848
	0x108da12
	0x10775fa
	0x76ba5d49
	0x77c9d83b
	0x77c9d7c1
",2026-02-23T06:12:58.277211,2026-02-23T06:28:39.546714
